,Make,Model,Variant,Ex_Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux_in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot_lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel_lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto_Diing_Rear_View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat_Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Iobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat_Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti_lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake_force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recoended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child_Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads_Up_Display,Welcome_Lights,Battery,Electric_Range,Price,Mileage,carsrange
0,Tata,Nano Genx,Xt,292667,624,2.0,2.0,RWD (),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,22.0,23.6,14.16 km/kg,660,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,Yes,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 2,92,667",22.880000000000003,Budget
1,Tata,Nano Genx,Xe,236447,624,2.0,2.0,RWD (),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,22.0,23.6,14.16 km/kg,725,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,All Windows,Yes,Smart Key,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,Yes,Yes,Not on offer,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 2,36,447",22.880000000000003,Budget
2,Tata,Nano Genx,Emax Xm,296661,624,2.0,2.0,RWD (),In-line,BS IV,"Rear, Transverse",Injection,15 litres,CNG,1652.0,3164.0,1750.0,Hatchback,4.0,12.0,22.0,23.0,36 km/kg,710,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,All Windows,Yes,Smart Key,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,Yes,Yes,Not on offer,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 2,96,661",16.5,Budget
3,Tata,Nano Genx,Xta,334768,624,2.0,2.0,RWD (),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,22.0,21.9,14.16 km/kg,725,5,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,Yes,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230 mm,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,94 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 3,34,768",22.880000000000003,Budget
4,Tata,Nano Genx,Xm,272223,624,2.0,2.0,RWD (),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,22.0,23.6,14.16 km/kg,725,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,All Windows,Yes,Smart Key,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,Yes,Yes,Not on offer,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 2,72,223",22.880000000000003,Budget
5,Tata,Nano Genx,Xma,314815,624,2.0,2.0,RWD (),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,22.0,21.9,14.16 km/kg,710,5,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,All Windows,Yes,Smart Key,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230 mm,4 B X 12,Yes,Yes,Not on offer,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,94 litres,Yes,Yes,Yes,Digital,Not on offer,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 3,14,815",22.880000000000003,Budget
6,Datsun,Redi-Go,D,279650,799,3.0,4.0,FWD (),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,14.16 km/kg,1785,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,All Windows,Yes,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,Yes,Yes,Not on offer,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,222 litres,Yes,Yes,Yes,Digital,Not on offer,Yes,Front & Rear,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 2,79,650",22.559,Budget
7,Datsun,Redi-Go,T,351832,799,3.0,4.0,FWD (),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,14.16 km/kg,1785,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,Only Front Windows,Yes,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,222 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 3,51,832",22.559,Budget
8,Datsun,Redi-Go,A,333419,799,3.0,4.0,FWD (),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,14.16 km/kg,1785,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,All Windows,Yes,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,Yes,Yes,Not on offer,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,222 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 3,33,419",22.559,Budget
9,Datsun,Redi-Go,S,362000,799,3.0,4.0,FWD (),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,14.16 km/kg,1785,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,All Windows,Yes,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",222 litres,Yes,Yes,Yes,Digital,Not on offer,Yes,Front & Rear,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 3,62,000",22.559,Budget
10,Datsun,Redi-Go,1.0 S,390000,999,3.0,4.0,FWD (),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,12.0,22.0,22.5,14.16 km/kg,1785,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,All Windows,Yes,Smart Key,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",222 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 3,90,000",16.5,Budget
11,Datsun,Redi-Go,1.0 S Amt,437065,999,3.0,4.0,FWD (),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,12.0,22.0,23.0,14.16 km/kg,1785,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,155/80R13,155/80R13,Electric Power,Only Front Windows,Yes,Yes,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5.0,Fabric,Automatic,2348 mm,155/80R13,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",222 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 4,37,065",16.5,Budget
12,Renault,Kwid,Rxe 0.8,353290,799,3.0,4.0,FWD (),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,22.0,25.17,14.16 km/kg,669,6,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1490 mm,1540 mm,165/70 R14,165/70 R14,Electric Power,All Windows,Yes,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5.0,Fabric,Manual,2422 mm,165/70 R14,Yes,Yes,Not on offer,Yes,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Digital,Yes,5.2 meter,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 3,53,290",23.743500000000004,Budget
13,Renault,Kwid,Std 0.8,283290,799,3.0,4.0,FWD (),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,22.0,25.17,14.16 km/kg,669,5,184 mm,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,1490 mm,1540 mm,165/70 R14,165/70 R14,Electric Power,All Windows,Yes,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5.0,Fabric,Manual,2442 mm,165/70 R14,Yes,Yes,Not on offer,Yes,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Heater,Yes,Yes,Yes,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2510 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,2.4 PSI,Only front,Yes,Yes,Yes,Yes,Yes,Yes,"Revotron 1.2 L, BS6 Engine",Yes,Yes,1.0,Yes,Yes,200 ampere-hour,110 km/full charge,"Rs. 2,83,290",23.743500000000004,Budget
